ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
rtr.0,send_bit_count,port0,Accumulator,0,0,0,0,2439,0,0
rtr.0,send_packet_count,port0,Accumulator,0,0,2439,2439,2439,1,1
rtr.0,output_port_stalls,port0,Accumulator,0,0,0,0,0,0,0
rtr.0,idle_time,port0,Accumulator,0,0,0,15580058700749891584,2228,2000,18446737176673153616
rtr.0,width_adj_count,port0,Accumulator,0,0,0,0,0,0,0
rtr.0,send_bit_count,port1,Accumulator,0,0,0,0,0,0,0
rtr.0,send_packet_count,port1,Accumulator,0,0,0,0,0,0,0
rtr.0,output_port_stalls,port1,Accumulator,0,0,0,0,0,0,0
rtr.0,idle_time,port1,Accumulator,0,0,0,0,1,0,0
rtr.0,width_adj_count,port1,Accumulator,0,0,0,0,0,0,0
rtr.0,send_bit_count,port2,Accumulator,0,0,0,0,1421,0,0
rtr.0,send_packet_count,port2,Accumulator,0,0,1421,1421,1421,1,1
rtr.0,output_port_stalls,port2,Accumulator,0,0,0,0,0,0,0
rtr.0,idle_time,port2,Accumulator,0,0,0,2318599006987672576,1357,4000,18446737176673161616
rtr.0,width_adj_count,port2,Accumulator,0,0,0,0,0,0,0
rtr.0,send_bit_count,port3,Accumulator,0,0,0,0,0,0,0
rtr.0,send_packet_count,port3,Accumulator,0,0,0,0,0,0,0
rtr.0,output_port_stalls,port3,Accumulator,0,0,0,0,0,0,0
rtr.0,idle_time,port3,Accumulator,0,0,0,0,1,0,0
rtr.0,width_adj_count,port3,Accumulator,0,0,0,0,0,0,0
rtr.0,send_bit_count,port4,Accumulator,0,0,0,0,1054,0,0
rtr.0,send_packet_count,port4,Accumulator,0,0,1054,1054,1054,1,1
rtr.0,output_port_stalls,port4,Accumulator,0,0,0,0,0,0,0
rtr.0,idle_time,port4,Accumulator,0,0,0,7561187175311718400,1014,4000,18446737176673169616
rtr.0,width_adj_count,port4,Accumulator,0,0,0,0,0,0,0
rtr.0,send_bit_count,port5,Accumulator,0,0,0,0,0,0,0
rtr.0,send_packet_count,port5,Accumulator,0,0,0,0,0,0,0
rtr.0,output_port_stalls,port5,Accumulator,0,0,0,0,0,0,0
rtr.0,idle_time,port5,Accumulator,0,0,0,0,1,0,0
rtr.0,width_adj_count,port5,Accumulator,0,0,0,0,0,0,0
rtr.0,send_bit_count,port6,Accumulator,0,0,0,0,6038,0,0
rtr.0,send_packet_count,port6,Accumulator,0,0,6038,6038,6038,1,1
rtr.0,output_port_stalls,port6,Accumulator,0,0,0,0,0,0,0
rtr.0,idle_time,port6,Accumulator,0,0,0,1424808079464339456,4231,8000,18446737176687511616
rtr.0,width_adj_count,port6,Accumulator,0,0,0,0,0,0,0
rtr.0,xbar_stalls,port0,Accumulator,0,0,0,0,0,0,0
rtr.0,xbar_stalls,port1,Accumulator,0,0,0,0,0,0,0
rtr.0,xbar_stalls,port2,Accumulator,0,0,0,0,0,0,0
rtr.0,xbar_stalls,port3,Accumulator,0,0,0,0,0,0,0
rtr.0,xbar_stalls,port4,Accumulator,0,0,0,0,0,0,0
rtr.0,xbar_stalls,port5,Accumulator,0,0,0,0,0,0,0
rtr.0,xbar_stalls,port6,Accumulator,0,0,0,0,0,0,0
rtr.1,send_bit_count,port0,Accumulator,0,0,0,0,1183,0,0
rtr.1,send_packet_count,port0,Accumulator,0,0,1183,1183,1183,1,1
rtr.1,output_port_stalls,port0,Accumulator,0,0,0,0,0,0,0
rtr.1,idle_time,port0,Accumulator,0,0,0,8393472485879030272,973,4000,18446737176715601616
rtr.1,width_adj_count,port0,Accumulator,0,0,0,0,0,0,0
rtr.1,send_bit_count,port1,Accumulator,0,0,0,0,0,0,0
rtr.1,send_packet_count,port1,Accumulator,0,0,0,0,0,0,0
rtr.1,output_port_stalls,port1,Accumulator,0,0,0,0,0,0,0
rtr.1,idle_time,port1,Accumulator,0,0,0,0,1,0,0
rtr.1,width_adj_count,port1,Accumulator,0,0,0,0,0,0,0
rtr.1,send_bit_count,port2,Accumulator,0,0,0,0,1529,0,0
rtr.1,send_packet_count,port2,Accumulator,0,0,1529,1529,1529,1,1
rtr.1,output_port_stalls,port2,Accumulator,0,0,0,0,0,0,0
rtr.1,idle_time,port2,Accumulator,0,0,0,11947087819521945600,1474,4000,18446737176715877616
rtr.1,width_adj_count,port2,Accumulator,0,0,0,0,0,0,0
rtr.1,send_bit_count,port3,Accumulator,0,0,0,0,0,0,0
rtr.1,send_packet_count,port3,Accumulator,0,0,0,0,0,0,0
rtr.1,output_port_stalls,port3,Accumulator,0,0,0,0,0,0,0
rtr.1,idle_time,port3,Accumulator,0,0,0,0,1,0,0
rtr.1,width_adj_count,port3,Accumulator,0,0,0,0,0,0,0
rtr.1,send_bit_count,port4,Accumulator,0,0,0,0,1007,0,0
rtr.1,send_packet_count,port4,Accumulator,0,0,1007,1007,1007,1,1
rtr.1,output_port_stalls,port4,Accumulator,0,0,0,0,0,0,0
rtr.1,idle_time,port4,Accumulator,0,0,0,8742810478744778240,981,4000,18446737176715885616
rtr.1,width_adj_count,port4,Accumulator,0,0,0,0,0,0,0
rtr.1,send_bit_count,port5,Accumulator,0,0,0,0,0,0,0
rtr.1,send_packet_count,port5,Accumulator,0,0,0,0,0,0,0
rtr.1,output_port_stalls,port5,Accumulator,0,0,0,0,0,0,0
rtr.1,idle_time,port5,Accumulator,0,0,0,0,1,0,0
rtr.1,width_adj_count,port5,Accumulator,0,0,0,0,0,0,0
